, 31696
39320, 31488
39336, 31476
39336, 31500
39356, 31472
39344, 31492
39336, 31492
39352, 31472
39344, 31476
39348, 31488
39376, 31500
39372, 31512
39392, 31496
39376, 31480
39380, 31492
39380, 31488
39372, 31480
39324, 31460
39304, 31452
39272, 31452
39256, 31436
39224, 31424
39232, 31420
39216, 31428
39216, 31432
39208, 31420
39220, 31420
39212, 31420
39204, 31420
39192, 31400
39188, 31392
39192, 31388
39192, 31412
39180, 31404
39156, 31400
39144, 31388
39156, 31392
39136, 31392
39156, 31388
39144, 31400
39168, 31380
39148, 31384
39156, 31408
39164, 31412
39188, 31388
39152, 31392
39160, 31392
39152, 31396
39172, 31392
39180, 31380
39176, 31400
39156, 31396
39176, 31392
39172, 31412
39212, 31404
39180, 31396
39184, 31400
39192, 31404
39204, 31400
39192, 31416
39208, 31388
39184, 31388
39236, 31408
39208, 31392
39224, 31408
39220, 31396
39224, 31424
39200, 31416
39232, 31400
39228, 31420
39252, 31436
39244, 31416
39252, 31408
39252, 31432
39264, 31432
39252, 31416
39280, 31428
39280, 31452
39288, 31424
39280, 31436
39280, 31436
39264, 31428
39300, 31420
39304, 31436
39324, 31440
39324, 31452
39328, 31448
39320, 31468
39344, 31468
39336, 31468
39352, 31456
39332, 31456
39364, 31464
39344, 31432
39304, 31436
39292, 31432
39256, 31412
39252, 31408
39236, 31412
39204, 31400
39220, 31384
39172, 31404
39180, 31364
39172, 31364
39176, 31364
39152, 31384
39168, 31360
39148, 31380
39160, 31364
39152, 31388
39168, 31388
39148, 31372
39164, 31384
39144, 31376
39152, 31384
39148, 31396
39168, 31388
39144, 31368
39176, 31380
39164, 31380
39156, 31380
39148, 31380
39156, 31380
39132, 31360
39156, 31364
39152, 31368
39140, 31352
39156, 31360
39144, 31356
39156, 31352
39144, 31352
39144, 31360
39160, 31332
39152, 31352
39136, 31328
39148, 31348
39148, 31360
39148, 31336
39132, 31352
39136, 31344
39148, 31324
39160, 31352
39168, 31372
39136, 31360
39168, 31356
39176, 31356
39172, 31360
39192, 31360
39200, 31368
39204, 31368
39220, 31384
39200, 31360
39208, 31384
39212, 31368
39212, 31392
39216, 31376
39236, 31368
39244, 31392
39260, 31412
39252, 31408
39272, 31408
39276, 31408
39300, 31396
39276, 31404
39292, 31416
39292, 31420
39284, 31388
39276, 31404
39284, 31396
39248, 31388
39236, 31364
39216, 31364
39184, 31368
39160, 31372
39152, 31360
39148, 31352
39156, 31344
39168, 31360
39156, 31352
39156, 31340
39156, 31368
39136, 31360
39148, 31360
39132, 31368
39144, 31340
39136, 31344
39140, 31336
39120, 31348
39152, 31344
39164, 31340
39128, 31344
39164, 31340
39168, 31344
39144, 31360
39168, 31336
39144, 31356
39148, 31348
39132, 31372
39148, 31360
39132, 31356
39148, 31364
39160, 31364
39144, 31352
39144, 31336
39172, 31356
39152, 31360
39172, 31380
39148, 31388
39180, 31372
39192, 31388
39200, 31396
39184, 31384
39200, 31388
39216, 31396
39216, 31404
39196, 31416
39228, 31412
39224, 31428
39212, 31408
39220, 31404
39220, 31416
39208, 31412
39236, 31420
39244, 31420
39256, 31412
39260, 31416
39292, 31420
39268, 31432
39296, 31448
39276, 31448
39300, 31420
39280, 31444
39292, 31452
39316, 31444
39324, 31452
39292, 31452
39300, 31432
39296, 31440
39304, 31428
39252, 31404
39224, 31412
39192, 31392
39200, 31396
39196, 31396
39188, 31392
39172, 31396
39196, 31392
39168, 31396
39168, 31388
39168, 31392
39172, 31384
39148, 31364
39152, 31356
39160, 31368
39140, 31380
39172, 31368
39164, 31360
39148, 31384
39188, 31368
39172, 31396
39164, 31372
39160, 31396
39180, 31392
